id,gold_answer,model_extracted,question
164,"['A', 'A', 'C', 'A', 'D', 'A']","['A, D, C, A, D, A']","Consider measuring the time until death after diagnosis of a particular disease, and suppose that we have complete follow up, so that all death times are observed. We will assume the following to be known values for the population. We know that the mean time until death after diagnosis is 6.5 years. We also know that the standard deviation of time until death is 4.1 years. Further, we know that the distribution of time until death is very strongly skewed to the right (positively skewed) for this population. Use this to answer the following.
Part (a) Suppose that we take a simple random sample of 15 people from this population. What would we 'expect' our sample mean to be for our sample of 15 individuals? That is, what is the expected value of the sample mean? [ANS] A. Exactly equal to 6.5  B. It depends on the sample size  C. Less than 6.5  D. Greater than 6.5
Part (b) Suppose that we take a simple random sample of 15 people from this population. What would we 'expect' our sample standard deviation to be for our sample of 15 individuals? That is, what is the expected value of the sample standard deviation? [ANS] A. Exactly equal to 4.1  B. It depends on the sample size  C. Greater than 4.1  D. Less than 4.1
Part (c) If we made a histogram of these 10 observations, what shape would we 'expect' this histogram to have? [ANS] A. Skewed to the left  B. It depends on the sample size  C. Skewed to the right  D. Normally distributed  E. Symmetric
Part (d) Suppose that we take a simple random sample of 150 people from this population. What would we 'expect' our sample mean to be for our sample of 150 individuals? That is, what is the expected value of the sample mean? [ANS] A. Exactly equal to 6.5  B. It depends on the sample size  C. Greater than 6.5  D. Less than 6.5
Part (e) Suppose that we take a simple random sample of 150 people from this population. What would we 'expect' our sample standard deviation to be for our sample of 150 individuals? That is, what is the expected value of the sample standard deviation? [ANS] A. It depends on the sample size  B. Less than 4.1  C. Greater than 4.1  D. Exactly equal to 4.1
Part (f) If we made a histogram of these 150 observations, what shape would we 'expect' this histogram to have? [ANS] A. Skewed to the right  B. Symmetric  C. Normally distributed  D. It depends on the sample size  E. Skewed to the left
Part (g) (On-Paper) Again, consider taking a sample of 150 observations from this population. In a few sentences (you are encouraged to use pictures or notation if this helps), explain what is mean by the term ""The Sampling Distribution of The Sample Mean"", in the context of this example. In your explanation, imagine that you are explaining to a friend with limited understanding of statistics, and avoid the use of technical terms as much as possible. Also, please state any assumptions that are relevant to your description of the sampling distribution."
171,"['81.9787', '-0.905421']","['82.1\\%, -0.906']","Given the following data set, let $x$ be the explanatory variable and $y$ be the response variable. $\begin{array}{cccccccc}\hline x & 7 & 5 & 6 & 6 & 2 & 3 & 5 \\ \hline y & 4 & 5 & 6 & 4 & 8 & 8 & 6 \\ \hline \end{array}$
(a) If a least squares line was fitted to this data, what percentage of the variation in the $y$ would be explained by the regression line? (Enter your answer as a percent.) ANSWER: [ANS] \% (b) Compute the correlation coefficient: $r=$ [ANS]"
177,"['-3.51029992328117', '(-infinity,-2.2816)', '0.00191875', 'B']","['-4.31', '(-\\infty, -2.160)', '< 0.001', '\\text{Reject } H_0']","A federal agency responsible for enforcing laws governing weights and measures routinely inspects packages to determine whether the weight of the contents is as advertised on the package. The agency will only take action if there is strong evidence that the packages are underfilled. A random sample of 14 containers was taken and the contents weighed, with the weights given below. The containers are labeled to have 10 ounces. In your role as a member of this crack federal team, you are to specify and carry out an appropriate hypothesis test to determine whether there is enough evidence to support this claim. (Use a 2\% significance level.)
\begin{array}{ccccccc} 9.59 & 9.61 & 9.77 & 9.86 & 10.05 & 9.82 & 9.72 \\ 9.82 & 10.13 & 10.2 & 9.69 & 9.52 & 9.68 & 9.88 \\ \end{array} A. The value of the standardized test statistic: [ANS]
Note: For the next part, your answer should use interval notation. An answer of the form $(-\infty, a)$ is expressed (-infty, a), an answer of the form $(b, \infty)$ is expressed (b, infty), and an answer of the form $(-\infty, a) \cup (b, \infty)$ is expressed (-infty, a)U(b, infty). B. The rejection region for the standardized test statistic: [ANS]
C. The p-value is [ANS]
D. Your decision for the hypothesis test: [ANS] A. Do Not Reject $H_1$.  B. Reject $H_0$.  C. Reject $H_1$.  D. Do Not Reject $H_0$."
178,"['165000', '17000', '74000', '91000']","['74000', '91000']",Suppose the next time you buy a house including the land it sits on for 165000 Dollars. The real estate agent tells you that the land costs 17000 more than the house. You apply your formula derived in the previous problem. To do so you set $S=$ [ANS] dollars and $D=$ [ANS] dollars. and you find out that the price of the house is [ANS] dollars and the price of the land is [ANS] dollars.
179,['23.0789659628024'],['23.08'],"An infectious strain of bacteria increases in number at a relative growth rate of 250 percent per hour. When a certain critical number of bacteria are present in the bloodstream, a person becomes ill. If a single bacterium infects a person, the critical level is reached in 24 hours. How long will it take for the critical level to be reached if the same person is infected with 10 bacteria? Your answer is [ANS] hours."
184,"['(0, -1.375)']","['0, -\\frac{11}{8}']",Solve the following quadratic equation by factoring and applying the property: $ab=0$ if and only if $a=0$ or $b=0$. 8 n^2+11 n=0 Solutions (separate by commas): $n=$ [ANS]
189,"['(-0.0829959567953288, -1.91700404320467)']","['-0.083, -1.917']","Find all values of $i$ that satisfy the equation 5=10 (1+i)^8. List the values below, separated by commas. (Note: you may need to carry your answers to several decimal places.) Values of $i$=[ANS]"
191,['37.9525'],['37.95'],"A person is flying a kite. The string is fully extended at ${43\ {\rm ft}}$. The hand holding the string is very close to his eyes, which are ${5.5\ {\rm ft}}$ above the ground. When he looks up at the kite, the angle of elevation is $49$ degrees. Find the height of the kite. Round your answer to two decimal places if needed. The height of the kite is [ANS]ft."
193,['2.30357142857143'],['2.3'],"In testing the hypothesis: $H_0: \beta_1=0$ $H_0: \beta_1 \not=0$ the following statistics are available: $n=167,\quad b_0=-1.99,\quad b_1=5.16,\quad s_{b_1}=2.24,\quad \hat{y}=8$ Determine the value of the test statistic. Test Statistic=[ANS]"
195,"['x**4+7*x**2+5', '-5']","['x^4 + 7x^2 + 5', '-5']","Find the quotient and remainder using synthetic division for \frac{x^5-x^4+7x^3-7x^2+5x-10}{x-1}. The quotient is [ANS]
The remainder is [ANS]"
198,"['m = k*r', '0.00454545', '183.333', '0.0416667', '37.5']","['m = kr', '\\dfrac{1}{220}', '183.\\overline{3}', '\\dfrac{1}{24}', '37.5']","The length $m$, in inches, of a model train is directly proportional to the length $r$, in inches, of the corresponding real train.
(a) Write an equation that expresses $m$ as a function of $r$, using $k$ for the constant of proportionality. [ANS]
(b) A Z scale model train is 1/220th the size of a real train. What is the constant of proportionality? [ANS]
What is the length, in feet, of a real locomotive if its Z scale model is $10$ inches long? [ANS] feet.
(c) A G scale model train is 1/24th the size of a real train. What is the constant of proportionality? [ANS]
What is the length, in inches, of a G scale model if its real locomotive is $75$ feet long? [ANS] inches."
201,"['0.94380777997357', '0.172634', '0.345268']","['0.944', '0.173', '0.346']","Golf-course designers have become concerned that old courses are becoming obsolete since new technology has given golfers the ability to hit the ball so far. Designers, therefore, have proposed that new golf courses need to be built expecting that the average golfer can hit the ball more than $255$ yards on average. Suppose a random sample of $162$ golfers be chosen so that their mean driving distance is $258.5$ yards, with a standard deviation of $47.2$. Conduct a hypothesis test where $H_0: \mu=255$ and $H_1:\mu > 255$ by computing the following:
(a) $\ $ test statistic $\ $ [ANS]
(b) $\ $ p-value $p=$ [ANS]
(c) $\ $ If this was a two-tailed test, then the p-value is [ANS]"
202,['5*1.75**x'],['5(1.75)^x'],"Suppose that the graph of $f(x)=Ca^x$ passes through the points (2, 15.3125) and (4, 46.89453125). Find a formula for $f(x)$.
$f(x)$=[ANS]"
203,"['28*(4*t+1.3)**2 - 132*(4*t+1.3) + 59', '7.20947473332645']","['448t^2 - 236.8t - 65.28', '7.21']","The number of bacteria in a refrigerated food product is given by $N(T)=28 T^2-132 T+59$, $5 < T < 35$ where $T$ is the temperature of the food. When the food is removed from the refrigerator, the temperature is given by $T(t)=4 t+1.3$, where $t$ is the time in hours. Find the composite function $N(T(t))$: $N(T(t))=$ [ANS]
Find the time when the bacteria count reaches 21513 Time Needed=[ANS]"
207,"['6', 'A = 6*B^2', '294']","['6', 'A = 6B^2', '294']","Suppose $A$ is directly proportional to the square of $B$, and $A=96$ when $B=4$.
Find the constant of proportionality. [ANS]
Write the formula for $A$ in terms of $B$. [ANS]
Use your formula to find $A$ when $B=7$. $A=$ [ANS]"
208,"['(0.523599, 2.61799)']","['\\dfrac{\\pi}{6}, \\dfrac{5\\pi}{6}']","Find all solutions to the equation below for $0 \leq \alpha \leq 2 \pi$. If there is more than one answer, enter your solutions in a comma-separated list, and be sure to give exact answers without any rounding.
2 \sin{(\alpha)}=1 $\alpha=$ [ANS]"
209,"['(24.5175463074866,27.4824536925134)']","['(24.52, 27.48)']","It is known that the amount of time needed to change the oil in a car is normally distributed with a standard deviation of 7 minutes. A random sample of 105 oil changes yielded a sample mean of 26 minutes. Compute the 97\% confidence interval estimate for the population mean. Note: For each confidence interval, enter your answer in the form (LCL, UCL). You must include the parentheses and the comma between the confidence limits.
Confidence Interval=[ANS]"
211,"['462446', '2000']","['462446', '2000']","The polynomial function f(x)=-2212x^2+57,575x+107,896 models the cumulative number of deaths from AIDS in the United States, $f(x)$, where $x$ is the number of years after 1990.
a) Find $f(10)$=[ANS]
b) In what year is the cumulative number of AIDS deaths in the United States equal to your answer in part a)? Answer: [ANS]"
213,['1325'],['1285'],"A polling organization has been hired to conduct a survey to determine the proportion of people who are likely to support an upcoming ballot initiative. To help determine the size of the sample required for the main poll, a preliminary poll of 20 people is taken that yields the results below. (Yes indicates that the person will support the initiative, No indicates that they won't.)
\begin{array}{lllll} \mbox{No} & \mbox{Yes} & \mbox{Yes} & \mbox{No} & \mbox{No} \\ \mbox{No} & \mbox{Yes} & \mbox{Yes} & \mbox{Yes} & \mbox{Yes} \\ \mbox{Yes} & \mbox{No} & \mbox{Yes} & \mbox{Yes} & \mbox{Yes} \\ \mbox{Yes} & \mbox{Yes} & \mbox{No} & \mbox{No} & \mbox{Yes} \\ \end{array} Based on the results of the peliminary poll, how large a sample is required for the main poll, assuming that the main poll should have a margin of error of 3.1\% and a confidence level of 98.2\%. Sample Size=[ANS]"
214,['668.836+12.1593*x'],['668.80 + 12.16x'],"We have data on the lean body mass and resting metabolic rate for 12 women who are subjects in a study of dieting. Lean body mass, given in kilograms, is a person's weight leaving out all fat. Metabolic rate, in calories burned per 24 hours, is the rate at which the body consumes energy.
$\begin{array}{ccccccccccccc}\hline Mass & 50.3 & 47.8 & 41.7 & 46.8 & 43 & 48.4 & 45.6 & 43.5 & 45.8 & 39 & 45.7 & 44.7 \\ \hline Rate & 1310 & 1410 & 1130 & 1300 & 1250 & 1090 & 1200 & 1200 & 990 & 1170 & 1450 & 1120 \\ \hline \end{array}$
Find the least-squares regression line for predicting metabolic rate from body mass. ANSWER: $\hat{y}=$ [ANS]"
217,"['2.55', '4.41672955930064']","['2.55', '2.55\\sqrt{3}']",Suppose you are given a $30^\circ-60^\circ-90^\circ$ triangle with hypotenuse of length $5.1$. Determine the length of the two sides. (Enter these below in order so that the first one is not larger than the second.) First leg=[ANS] Second leg=[ANS]
219,"['1.53537800000001', '0.0581111111111112', '26.4214187380498', '6.35886', 'A']","['1.5353, 0.0581, 26.43, 5.48, A']","The table below lists the body temperatures of six randomly selected subjects from each of three different age groups. Use the $\alpha=0.01$ significance level to test the claim that the three age-group populations have different mean body temperatures. $\begin{array}{cccc}\hline & 16-20 & 21-29 & 30 and older \\ \hline subject 1 & 98.5 & 98.7 & 97.9 \\ \hline subject 2 & 98.4 & 98.1 & 97.5 \\ \hline subject 3 & 98.1 & 98.6 & 97.5 \\ \hline subject 4 & 98 & 98.8 & 97.4 \\ \hline subject 5 & 98 & 98.4 & 97.6 \\ \hline subject 6 & 97.9 & 98.5 & 97.2 \\ \hline mean & 98.15 & 98.517 & 97.517 \\ \hline standard deviation & 0.243 & 0.248 & 0.232 \\ \hline \end{array}$
The variance between samples is $ns_{\overline{x}}^2=$ [ANS] The variance within samples is $s_p^2=$ [ANS] The test statistic is $F=$ [ANS] The critical value is $F=$ [ANS] Is there sufficient evidence to warrant the rejection of the claim that the three age-group populations have the same mean body temperature? [ANS] A. Yes  B. No"
222,"['-0.901387818865997', '0', '0.901387818865997', '0', '0', '-13', '-13', '+INF']","['(- \\frac{\\sqrt{13}}{4}, 0), (\\frac{\\sqrt{13}}{4}, 0), (0, -13), [-13, \\infty)']","Find the intercepts and range of the function $f(x)=16x^2-13$.
Instructions: Type the x-intercept with the smaller x-coordinate first. Type+INF for infinity, and-INF for negative infinity. 
x-intercepts: ([ANS], [ANS]) and ([ANS], [ANS]) y-intercept: ([ANS], [ANS]) range: [[ANS], [ANS])"
230,"['C', 'E', 'C', '0.308538', 'B']","['C', 'E', 'C', '0.3085', 'B']","Prospective drivers who enrol in Smart Driver Driving School have always been taught by a conventional teaching method. The driving school has many branches across provinces. Last year, among all students that took driving lessons from the school in a certain province, 80\% passed the provincial road test. This year, the teaching committee came up with a new teaching method. The committee randomly assigned half of its 2400 students enrolled this year to receive the conventional teaching method and the remaining half to receive the new teaching method. In a random sample of 100 students who received the conventional teaching method, 78\% passed the road test.
Part i) To test if the passing rate has decreased from last year for students who received the conventional teaching method, what will be the null hypothesis? [ANS] A. The proportion of 1200 students who received the conventional teaching method and subsequently passed the road test this year equals 0.78.  B. The proportion of 100 students who received the conventional teaching method and subsequently passed the road test this year is lower than 0.80.  C. The proportion of 1200 students who received the conventional teaching method and subsequently passed the road test this year equals 0.80.  D. The proportion of 100 students who received the conventional teaching method and subsequently passed the road test this year equals 0.78.  E. The proportion of 100 students who received the conventional teaching method and subsequently passed the road test this year equals 0.80.  F. The proportion of 1200 students who received the conventional teaching method and subsequently passed the road test this year is lower than 0.80.
Part ii) For the test mentioned in the previous part, what will be the alternative hypothesis? [ANS] A. The proportion of 1200 students who received the conventional teaching method and subsequently passed the road test this year equals 0.80.  B. The proportion of 100 students who received the conventional teaching method and subsequently passed the road test this year equals 0.78.  C. The proportion of 100 students who received the conventional teaching method and subsequently passed the road test this year equals 0.80.  D. The proportion of 1200 students who received the conventional teaching method and subsequently passed the road test this year equals 0.78.  E. The proportion of 1200 students who received the conventional teaching method and subsequently passed the road test this year is lower than 0.80.  F. The proportion of 100 students who received the conventional teaching method and subsequently passed the road test this year is lower than 0.80.
Part iii) What is the approximate null model for the sample proportion of the conventional teaching group who passed the road test? [ANS] A. $N\left(0.78, \sqrt{\frac{0.78 \,\cdot\, 0.22}{1200}} \right)$.  B. $N\left(0.80, \sqrt{\frac{0.78 \,\cdot\, 0.22}{100}} \right)$.  C. $N\left(0.80, \sqrt{\frac{0.8 \,\cdot\, 0.2}{100}} \right)$.  D. $N\left(0.78, \sqrt{\frac{0.78 \,\cdot\, 0.22}{100}} \right)$.  E. $N\left(0.78, \sqrt{\frac{0.8 \cdot 0.2}{100}} \right)$.  F. $N\left(0.80, \sqrt{\frac{0.8 \,\cdot\, 0.2}{1200}} \right)$.
Part iv) Compute the $P$-value: [ANS] (your answer must be expressed as a proportion and rounded to 4 decimal places.)
Part v) What is an appropriate conclusion for the hypothesis test at the 2\% significance level? [ANS] A. The passing rate for students taught using the conventional method this year is significantly lower than last year’s.  B. The passing rate for students taught using the conventional method this year is not significantly lower than last year’s.  C. The passing rate for students taught using the conventional method this year is the same as last year’s.  D. Both (b) and (c)."
